,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
63,The Gods of Mars,Edgar Rice Burroughs,Science fiction,Mars (Planet) -- Fiction,Life on other planets -- Fiction,407,82753,English,1993-05-01
64,"The First 100,000 Prime Numbers",Unknown,Mathematics,"Numbers, Prime",NA,55,185,English,1993-05-01
65,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,Norman F. Joly,Radio broadcasting,NA,NA,40,31125,English,1993-05-01
66,The Black Experience in America,Norman Coombs,African Americans -- History,Slavery -- United States -- History,NA,59,77061,English,1993-05-01
67,Warlord of Mars,Edgar Rice Burroughs,Science fiction,Mars (Planet) -- Fiction,"Carter, John (Fictitious character) -- Fiction",282,57169,English,1993-06-01
68,The 32nd Mersenne Prime,David Slowinski,"Numbers, Prime",Number theory,NA,23,4653,English,1993-06-01
69,What Is Man? and Other Essays,Mark Twain,American essays,NA,NA,1019,94488,English,2004-09-13
70,On the Duty of Civil Disobedience,Henry David Thoreau,Civil disobedience,"Government, Resistance to",NA,1342,9368,English,1993-06-01
71,"Thuvia, Maid of Mars",Edgar Rice Burroughs,Science fiction,Martians -- Fiction,Mars (Planet) -- Fiction,218,47155,English,1993-07-01
72,The Red Badge of Courage: An Episode of the American Civil War,Stephen Crane,Historical fiction,War stories,"United States -- History -- Civil War, 1861-1865 -- Fiction",2304,46169,English,1993-07-01
73,"The Adventures of Tom Sawyer, Complete",Mark Twain,Humorous stories,Bildungsromans,Boys -- Fiction,8273,70834,English,2004-07-01
74,E-mail 101,John E. Goodwin,Electronic mail systems,NA,NA,405,20203,English,1993-07-01
75,Adventures of Huckleberry Finn,Mark Twain,Humorous stories,Bildungsromans,Boys -- Fiction,12536,111242,English,2004-06-29
76,The House of the Seven Gables,Nathaniel Hawthorne,Historical fiction,Domestic fiction,Paranormal fiction,881,104890,English,1993-08-01
77,Tarzan of the Apes,Edgar Rice Burroughs,Tarzan (Fictitious character) -- Fiction,Africa -- Fiction,Fantasy fiction,1029,85796,English,1993-08-01
78,Terminal Compromise,Winn Schwartau,Computer security -- Fiction,Didactic fiction,"Privacy, Right of -- Fiction",46,216498,English,1993-08-01
79,The Online World,Odd De Presno,Internet,NA,NA,42,89818,English,1993-09-01
80,The Return of Tarzan,Edgar Rice Burroughs,Tarzan (Fictitious character) -- Fiction,Fantasy fiction,Adventure stories,338,89229,English,1993-09-01
81,Ivanhoe: A Romance,Walter Scott,Historical fiction,Knights and knighthood -- Fiction,Love stories,1566,191637,English,2008-06-25
82,"From the Earth to the Moon; and, Round the Moon",Jules Verne,Science fiction,Space flight to the moon -- Fiction,Moon -- Fiction,754,91511,English,1993-09-01
83,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Science fiction,Horror tales,Gothic fiction,67925,75051,English,1993-10-01
