,Title,Author,Subject1,Subject2,Subject3,Num_Downloads,Word_Count,Language,Release_Date
5565,The Cardinal's Snuff-Box,Henry Harland,Widows -- Fiction,British -- Italy -- Fiction,NA,24,51222,English,2004-05-01
5566,The Satyricon of Petronius Arbiter,Petronius Arbiter,Rome -- Fiction,"Satire, Latin -- Translations into English",NA,19,58376,English,2004-05-01
5567,The Arabian Nights Entertainments - Volume 01,Anonymous,Fairy tales,Arabs -- Folklore,Folklore -- Arab countries,14,237083,English,2004-05-01
5568,Chess Strategy,Edward Lasker,Chess,NA,NA,366,17,English,2004-05-01
5569,The Pink Fairy Book,Andrew Lang,Fairy tales,Folklore,NA,169,17,English,2004-05-01
5570,The Madman: His Parables and Poems,Kahlil Gibran,Parables,Mysticism -- Poetry,NA,177,7099,English,2004-05-01
5571,The Bobbsey Twins in Washington,Laura Lee Hope,Twins -- Juvenile fiction,Bobbsey Twins (Fictitious characters) -- Juvenile fiction,Brothers and sisters -- Juvenile fiction,6,41498,English,2004-05-01
5572,Six Plays,Lady Florence Henrietta Fisher Darwin,Drama,NA,NA,13,82669,English,2004-05-01
5573,Essays on Mankind and Political Arithmetic,Sir William Petty,Population,London (England) -- Population,NA,33,31630,English,2004-05-01
5574,Palaces and Courts of the Exposition,Juliet Helena Lumbard James,"Panama-Pacific International Exposition (1915 : San Francisco, Calif.)",NA,NA,5,17,English,2004-05-01
5575,Baron d'Holbach : a Study of Eighteenth Century Radicalism in France,Cushing,"Holbach, Paul Henri Thiry, baron d', 1723-1789",Philosophers -- France -- Biography,Radicalism -- France -- History -- 18th century,28,33351,English,2004-05-01
5576,At Last: A Novel,Marion Harland,Fiction,NA,NA,11,17,English,2004-05-01
5577,"The Young Explorer; Or, Claiming His Fortune",Jr. Horatio Alger,Orphans -- Juvenile fiction,Conduct of life -- Juvenile fiction,California -- History -- 19th century -- Juvenile fiction,14,41177,English,2004-05-01
5578,The Inhumanity of Socialism,Edward F. Adams,Socialism,NA,NA,24,12903,English,2004-05-01
5579,Flint and Feather: Collected Verse,E. Pauline Johnson,Poetry,NA,NA,31,25579,English,2004-06-24
5580,The Motormaniacs,Lloyd Osbourne,United States -- Social life and customs -- 20th century -- Fiction,NA,NA,8,31839,English,2004-05-01
5581,"String Quartet No. 10 in E-flat Major, Opus 124, No. 1",Franz Schubert,String quartets -- Scores,NA,NA,11,17,English,2004-05-01
5582,Preludes 1921-1922,John Drinkwater,English poetry -- 20th century,NA,NA,4,17,English,2004-05-01
5583,Dorothy Dale: A Girl of To-Day,Margaret Penrose,Family -- Juvenile fiction,Young women -- Juvenile fiction,NA,7,46406,English,2004-05-01
5584,"The Story of ""Mormonism"" and The Philosophy of ""Mormonism""",James E. Talmage,Mormons,Mormon Church,NA,16,24687,English,2004-05-01
5585,Patty's Suitors,Carolyn Wells,Interpersonal attraction -- Juvenile fiction,Teasing -- Juvenile fiction,First loves -- Juvenile fiction,15,17,English,2004-05-01
5586,Five Little Peppers Midway,Margaret Sidney,Family -- Juvenile fiction,Brothers and sisters -- Juvenile fiction,Kindness -- Juvenile fiction,39,69917,English,2004-05-01
5587,The Martial Adventures of Henry and Me,William Allen White,"World War, 1914-1918 -- Fiction","World War, 1914-1918 -- Personal narratives",NA,1,63786,English,2004-05-01
5588,Große Fuge in B flat major Opus 133,Ludwig van Beethoven,String quartets -- Scores,"Canons, fugues, etc.",NA,22,518,English,2004-05-01
5589,"String Quartet No. 3 in G Major, K. 156",Wolfgang Amadeus Mozart,String quartets -- Scores,NA,NA,12,522,English,2004-05-01
